Season,Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
S08,Aurelion Sol,59,71,0.03,29,30,0.49,4.8,6.6,1.440277778,8.9,495,398,-4.3,64,-43
S08,Viktor,95,28,0.03,37,58,0.39,3.1,6.8,1.420833333,9.3,590,396,1.1,-14,77
S08,Lissandra,68,52,0.03,36,32,0.53,3.3,7.9,1.334027778,8.8,407,386,16.7,308,421
S08,Veigar,61,55,0.02,32,29,0.52,4.3,6.1,1.411805556,8.8,468,397,-11.6,-269,-178
S08,Miss Fortune,70,39,0.02,34,36,0.49,3.9,6.4,1.454861111,8.3,551,395,-2.1,15,22
S08,Jinx,70,37,0.02,36,34,0.51,4.6,7.3,1.423611111,10.6,648,450,0,53,-26
S08,Ziggs,64,38,0.02,33,31,0.52,3.6,7.1,1.475694444,9.4,729,403,2.6,-48,-8
S08,Illaoi,39,63,0.02,16,23,0.41,1.1,8.1,1.44375,8.9,535,388,11.9,68,-11
S08,Master Yi,28,73,0.02,9,19,0.32,2.5,3.8,1.205555556,10.5,456,460,55.6,823,1013
S08,Evelynn,32,68,0.02,13,19,0.41,2.4,3.7,1.501388889,4.9,360,330,-4.3,117,324
S08,Xerath,44,50,0.02,20,24,0.45,4.8,4.6,1.506944444,8.3,776,385,-5.5,-60,-113
S08,Riven,39,47,0.02,20,19,0.51,2.6,5.2,1.3875,9.4,366,416,3.3,-189,-60
S08,Vayne,63,23,0.02,32,31,0.51,3.3,7.3,1.418055556,9.8,562,433,-0.5,-301,-22
S08,Karthus,53,32,0.02,21,32,0.4,2.5,5.3,1.361805556,9.8,701,422,33.8,648,1068
S08,Brand,43,38,0.02,22,21,0.51,3.1,5.4,1.457638889,5.5,529,336,-5.4,84,122
S08,Malphite,52,27,0.02,22,30,0.42,2.4,8.2,1.413888889,8.1,368,363,-14.2,-639,-347
S08,Bard,51,21,0.02,23,28,0.45,3,7.2,1.400694444,1,248,257,-18.9,-86,148
S08,Ekko,49,22,0.02,23,26,0.47,3.2,7,1.398611111,8.9,447,413,0.1,233,192
S08,Fizz,29,37,0.01,16,13,0.55,3.2,7.4,1.415972222,8.4,416,400,-2.7,-62,182
S08,Shyvana,37,24,0.01,10,27,0.27,2.3,8.2,1.486111111,6.6,287,352,25.1,470,730
S08,Nami,50,8,0.01,29,21,0.58,4.3,7.6,1.379166667,0.5,170,246,-13.1,-91,34
S08,Blitzcrank,42,15,0.01,19,23,0.45,2.6,7.9,1.439583333,1.5,150,242,1.7,-35,-260
S08,Ahri,27,25,0.01,14,13,0.52,3,4.9,1.533333333,8.4,523,391,-10.3,-397,-72
S08,Elise,37,12,0.01,15,22,0.41,2.2,8.4,1.340972222,4.7,315,322,-6.2,-217,-231
S08,Ivern,26,19,0.01,13,13,0.5,4.5,5.5,1.582638889,4.1,168,297,-5.8,-24,7
S08,Twisted Fate,33,10,0.01,18,15,0.55,5,7.7,1.323611111,9,433,433,-0.8,692,222
S08,Nautilus,34,5,0.01,12,22,0.35,2.4,4.4,1.345138889,3.4,186,267,5.8,-142,-104
S08,Twitch,25,9,0.01,11,14,0.44,4.1,7.2,1.422222222,9.1,572,414,-10.1,-426,-188
S08,Quinn,20,12,0.01,7,13,0.35,2.2,7.9,1.490277778,9.3,509,410,-3.3,-161,55
S08,Yorick,14,17,0.01,5,9,0.36,1.6,6.5,1.508333333,9.5,470,400,6.8,-183,31
S08,Zed,16,15,0.01,8,8,0.5,3.6,8.3,1.373611111,8.5,529,424,7.2,573,413
S08,Hecarim,18,7,0.01,12,6,0.67,2.5,7.4,1.390972222,6.7,348,379,5.7,210,394
S08,Zyra,20,4,0.01,8,12,0.4,1.6,8.8,1.316666667,1,391,266,-8.4,-94,-156
S08,Warwick,16,7,0,8,8,0.5,2.3,6.9,1.444444444,4.8,208,330,6.8,93,-4
S08,Kayn,16,5,0,6,10,0.38,2,8,1.301388889,5.6,291,336,-9.5,-82,-199
S08,Katarina,3,13,0,2,1,0.67,3.9,3.6,1.184722222,7.7,457,395,-20.7,-363,-430
S08,Kayle,7,7,0,4,3,0.57,3.2,4.9,1.296527778,12.6,435,499,40,816,1130
S08,Nasus,11,3,0,5,6,0.45,1.8,8.7,1.318055556,9.1,459,402,-2.6,-519,-163
S08,Wukong,9,1,0,6,3,0.67,2.6,8,1.435416667,8.1,413,397,-18.3,-287,-457
S08,Volibear,6,3,0,3,3,0.5,2.2,4,1.4375,5.7,247,306,-1,24,-358
S08,Lux,6,1,0,3,3,0.5,4.1,9,1.306944444,6.2,452,356,18.2,828,858
S08,Teemo,6,1,0,5,1,0.83,2.6,9,1.453472222,9.5,736,425,14.7,632,549
S08,Pantheon,4,1,0,2,2,0.5,2.8,1,1.385416667,6.4,353,365,-27.2,-129,-995
S08,Sona,2,3,0,2,0,1,6,6.3,1.388194444,0.7,333,314,-10.5,292,-170
S08,Garen,2,2,0,0,2,0,2.1,3.5,1.172222222,7.6,502,395,12,-350,-102
S08,Udyr,2,2,0,0,2,0,1.9,7.5,1.229166667,4.7,121,295,8,-400,-289
S08,Shaco,2,1,0,2,0,1,2.9,2,1.563888889,6.2,587,462,25.5,1520,1722
S08,Amumu,1,1,0,0,1,0,1,3,1.11875,4.5,145,272,-45,-775,-1575
S08,Annie,1,1,0,0,1,0,0.2,5,1.128472222,7.3,305,334,-10,-496,-1203
S08,Rammus,2,0,0,2,0,1,2.9,-,1.371527778,5.2,647,401,3,796,557
S08,Vi,1,1,0,0,1,0,0.4,3,1.314583333,3.7,264,275,1,-2450,-632
S08,Diana,1,0,0,1,0,1,4,-,1.371527778,11.1,498,504,-7,535,226
S08,Tryndamere,1,0,0,1,0,1,5,-,1.394444444,12.1,569,509,23,550,1078
S08,Neeko,0,0,0,,,,,-,0,,,,,,
S08,Sylas,0,0,0,,,,,-,0,,,,,,
S08,Yuumi,0,0,0,,,,,-,0,,,,,,
S08,Qiyana,0,0,0,,,,,-,0,,,,,,
S08,Senna,0,0,0,,,,,-,0,,,,,,
S08,Aphelios,0,0,0,,,,,-,0,,,,,,
S08,Sett,0,0,0,,,,,-,0,,,,,,
S08,Lillia,0,0,0,,,,,-,0,,,,,,
S08,Yone,0,0,0,,,,,-,0,,,,,,
S08,Samira,0,0,0,,,,,-,0,,,,,,
S08,Seraphine,0,0,0,,,,,-,0,,,,,,
S08,Rell,0,0,0,,,,,-,0,,,,,,
S08,Viego,0,0,0,,,,,-,0,,,,,,
S08,Gwen,0,0,0,,,,,-,0,,,,,,
S08,Akshan,0,0,0,,,,,-,0,,,,,,
S08,Vex,0,0,0,,,,,-,0,,,,,,
S08,Zeri,0,0,0,,,,,-,0,,,,,,
S08,Renata Glasc,0,0,0,,,,,-,0,,,,,,
S07,Champion,,,,,,,,Avg BT,,,,,CSD@15,GD@15,XPD@15
