Season,Tourament_type,Tourament_Name,Region,Game_No,Game_Duration,First_Gane,Last_Game
S07,IEM,IEM Katowice 2017,WR,27,14:33:00,Wednesday 22 February 2017,Sunday 26 February 2017
S07,IEM,IEM Gyeonggi 2016,WR,26,08:38:00,Wednesday 14 December 2016,Sunday 18 December 2016
S07,LCK,LCK Summer 2017,KR,219,12:22:00,Tuesday 30 May 2017,Sunday 6 August 2017
S07,LPL,LPL Summer Playoffs 2017,CN,31,10:46:00,Tuesday 22 August 2017,Friday 1 September 2017
S07,LPL,LPL Spring Playoffs 2017,CN,31,11:53:00,Tuesday 18 April 2017,Saturday 29 April 2017
S07,LCK,LCK Spring 2017,KR,222,13:07:00,Tuesday 17 January 2017,Sunday 2 April 2017
S07,LCK,LCK Spring Promotion 2018,KR,16,14:52:00,Tuesday 12 September 2017,Saturday 16 September 2017
S07,LPL,LPL Summer 2017,CN,233,11:21:00,Thursday 8 June 2017,Sunday 20 August 2017
S07,LCK-LPL-LMS,LCK-LPL-LMS Rift Rivals 2017,WR,21,14:39:00,Thursday 6 July 2017,Sunday 9 July 2017
S07,LCL-TCL,LCL-TCL Rift Rivals 2017,WR,19,10:28:00,Thursday 6 July 2017,Sunday 9 July 2017
S07,EU LCS,EU LCS Summer Promotion 2017,EUW,18,16:33:00,Thursday 6 April 2017,Friday 14 April 2017
S07,EU LCS,EU LCS Spring 2017,EUW,156,12:30:00,Thursday 19 January 2017,Sunday 2 April 2017
S07,LPL,LPL Spring 2017,CN,231,12:43:00,Thursday 19 January 2017,Sunday 16 April 2017
S07,EU LCS,EU LCS Spring Promotion 2017,EUW,20,08:16:00,Thursday 17 August 2017,Friday 25 August 2017
S07,EU LCS,EU LCS Summer 2017,EUW,153,10:18:00,Thursday 1 June 2017,Sunday 13 August 2017
S07,EU LCS,EU LCS Spring 2017,EUW,39,11:07:00,Sunday 5 February 2017,Sunday 26 March 2017
S07,EU LCS,EU LCS Summer 2017,EUW,37,10:42:00,Sunday 18 June 2017,Sunday 6 August 2017
S07,EU LCS,EU LCS Spring Playoffs 2017,EUW,23,14:36:00,Saturday 8 April 2017,Sunday 23 April 2017
S07,CBLOL,CBLOL Winter 2017,BR,56,14:11:00,Saturday 3 June 2017,Sunday 23 July 2017
S07,LMS,LMS Summer 2017,TW,132,11:13:00,Saturday 3 June 2017,Sunday 6 August 2017
S07,LCL,LCL Spring 2017,CIS,55,14:21:00,Saturday 28 January 2017,Sunday 19 March 2017
S07,LMS,LMS Regional Qualifiers 2017,TW,12,15:09:00,Saturday 26 August 2017,Monday 28 August 2017
S07,CBLOL,CBLOL Summer Playoffs 2017,BR,11,13:01:00,Saturday 25 March 2017,Saturday 8 April 2017
S07,LCL,LCL Summer 2017,CIS,60,10:43:00,Saturday 24 June 2017,Sunday 6 August 2017
S07,CBLOL,CBLOL Summer 2017,BR,56,15:15:00,Saturday 21 January 2017,Sunday 12 March 2017
S07,LMS,LMS Spring 2017,TW,125,12:34:00,Saturday 21 January 2017,Sunday 9 April 2017
S07,LPL,LPL Regional Qualifiers 2017,CN,8,08:51:00,Saturday 2 September 2017,Sunday 3 September 2017
S07,CBLOL,CBLOL Winter Playoffs 2017,BR,13,11:25:00,Saturday 19 August 2017,Saturday 2 September 2017
S07,EU LCS,EU LCS Summer Playoffs 2017,EUW,23,12:37:00,Saturday 19 August 2017,Sunday 3 September 2017
S07,LCL,LCL Summer Playoffs 2017,CIS,12,14:15:00,Saturday 19 August 2017,Sunday 3 September 2017
S07,LCK,LCK Summer Playoffs 2017,KR,14,09:31:00,Saturday 12 August 2017,Saturday 26 August 2017
S07,LCL,LCL Spring Playoffs 2017,CIS,14,10:03:00,Saturday 1 April 2017,Sunday 9 April 2017
S07,GPL-OPL-LJL,GPL-OPL-LJL Rift Rivals 2017,WR,18,10:51:00,Monday 3 July 2017,Thursday 6 July 2017
