Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA@15,TD@15,GD@15,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
J Team,S10,PCS,53,54.70%,1.2,1769,63,08:38:00,14.6,12.1,6.1,4.8,67.9,56.6,2.75,56.4,0.92,46.2,1.04,0.1,438,0.77,61.7,31.3,1905,3.3,1.37,1.55
JD Gaming,S10,CN,124,67.70%,1.32,1833,124,08:27:00,14.7,11.1,7,4.8,26.6,22.6,2.43,52.2,0.45,44.5,0.7,0,327,0.73,62.5,33.1,1951,3.4,1.2,1.63
Jin Air Green Wings,S10,KR,75,50.70%,1.1,1741,23,09:28:00,12.3,11.2,6.1,5.8,50.7,53.3,2.53,50.9,1.11,58,1.11,0.2,413,0.67,54.5,32,1836,3.5,1.58,1.7
K1CK Neosurf,S10,PL,84,66.70%,1.44,1838,182,07:44:00,16.3,11.3,7.5,4.3,69,71.4,2.61,57.2,1.31,66.7,0.94,0.9,1874,0.8,71.3,31.3,2094,3.5,1.41,1.38
KaBuM! e-Sports,S10,BR,53,58.50%,1.18,1774,78,09:47:00,15.5,13.1,6.7,5.5,37.7,54.7,2.74,55,1.02,51.9,0.92,0.1,235,0.74,55.1,31.1,2123,3.5,1.43,1.39
Karma Clan Esports,S10,PT,16,0.00%,0.5,1547,-341,07:09:00,8.4,16.6,2.2,10,37.5,37.5,1.19,24.5,0.5,25,0.69,-0.8,-1978,0.25,16.7,29.1,1544,2.8,1.15,1.06
Kenty,S10,EUW,6,33.30%,0.55,1589,-229,11:36:00,10.3,18.8,3.7,8.5,33.3,50,2.33,43.9,1.17,58.3,1.17,-0.5,-1862,0.5,23.3,29.4,1615,3.1,1.08,1.33
Komputronik H34T,S10,PL,19,57.90%,1.09,1737,7,12:17:00,15.7,14.3,6.6,5.9,21.1,42.1,2.95,52.9,1.11,55.3,1,-0.4,-913,0.95,66.7,29.6,1968,3.5,1.46,1.32
KT Rolster,S10,KR,100,46.00%,0.95,1734,-17,08:50:00,10.4,11,5.7,5.9,47,57,2.51,52.7,1.07,54,1.13,0.2,17,0.59,47.5,32.8,1781,3.8,1.55,1.82
Last Shadows,S10,RO,14,21.40%,0.74,1626,-207,07:04:00,12.3,16.6,2.3,8.6,50,14.3,1.43,27.1,0.21,10.7,0.36,-0.9,-1163,0.36,25,29.6,1850,2.7,0.68,0.88
