"Name","Season","Region","Games","Win.rate","K.D","GPM","GDM","Game.duration","Kills...game","Deaths...game","Towers.killed","Towers.lost","FB.","FT.","DRAPG","DRA.","HERPG","HER.","DRA.15","TD.15","GD.15","NASHPG","NASH.","CSM","DPM","WPM","VWPM","WCPM","Region_ID"
"White Dragons",12,"PT",23,60.9,1.35,1798,72,479,16.1,12,7.1,5.4,43.5,52.2,2.74,55.5,1.04,54.3,0.96,0,3,0.83,58.3,30.5,1864,2.7,1.05,1.2,27
"Wildcard Aces",12,"N/A",2,0,0.47,1705,-470,185,12,25.5,3,9.5,0,50,1,29.2,0.5,25,1,-0.5,-3196,0,0,29,2038,2.4,0.82,0.97,22
"Wildcard Gaming",12,"N/A",2,0,0.4,1585,-444,239,6,15,2,9,50,0,2,46.7,1.5,75,1.5,-0.5,-4794,0,0,32,1145,2.8,1.17,0.99,22
"Winthrop University",12,"N/A",4,0,0.38,1681,-360,344,8.5,22.3,3.8,9,25,25,0.75,16.7,1.25,62.5,0.25,-0.5,-2576,0.25,12.5,30.5,1510,2.9,1.17,1.01,22
"WLGaming Esports",12,"GR",28,71.4,1.48,1881,191,441,17.3,11.6,7.8,4.2,42.9,46.4,2.61,58.5,1.04,51.8,1.07,0,764,0.82,72.2,32.3,1992,3.2,1.26,1.31,13
"X7 Esports",12,"EUW",36,69.4,1.49,1917,213,388,18.3,12.3,7.1,4.3,61.1,63.9,2.78,65.5,1.39,70.8,1.06,0.5,1915,0.83,70,32.9,2308,3.2,1.17,1.32,11
"XTEN Esports",12,"LAT",18,38.9,0.77,1750,-96,685,14.2,18.4,5.3,6.9,33.3,38.9,2,39,0.72,36.1,0.83,-0.4,-1389,0.72,45.1,32.1,2001,3.2,1.35,1.64,20
"Zero Tenacity",12,"PL",33,48.5,0.94,1786,-12,487,14.1,14.9,6.5,6.5,39.4,57.6,2.03,44.5,1.06,53,0.88,0.1,-273,0.82,57.6,30.9,1963,3,1.15,1.19,26
"Zerolag Esports",12,"GR",14,28.6,0.59,1687,-249,419,11.3,19.2,3.6,8.1,14.3,28.6,1.86,37.8,0.21,10.7,0.79,-1.2,-2525,0.43,24.4,31.7,1791,3,1.12,1.18,13
"100 Thieves",11,"N/A",89,60.7,1.16,1802,75,561,13.5,11.6,6.8,5.1,49.4,62.9,2.67,57.3,1.17,59.6,1.08,0.4,792,0.76,58.2,32.9,1860,3.5,1.39,1.57,22
"100 Thieves Academy",11,"N/A",93,61.3,1.21,1852,105,433,17.5,14.5,6.8,5,49.5,53.8,2.54,57.2,1.04,52.7,1.14,0.5,709,0.76,52.7,31.7,2267,3.1,1.26,1.35,22
"100 Thieves Next",11,"N/A",4,0,0.37,1597,-567,163,9,24.3,1.8,10.3,75,0,1,29.2,0.25,12.5,0.75,-2.8,-5270,0,0,29.2,1773,2.9,1.11,1.48,22
"1907 Fenerbahce",11,"TR",51,45.1,0.85,1726,-68,436,12.4,14.5,4.9,6.6,47.1,35.3,2.2,47.7,1,50,0.94,-0.3,-1216,0.67,46.3,31.3,1776,2.9,1.14,1.27,32
"4Elements Esports",11,"BE",13,23.1,0.75,1690,-144,381,11.7,15.5,3.6,7.4,46.2,15.4,2.31,52.3,0.69,38.5,1.31,-0.8,-1013,0.38,33.3,31.5,1781,2.8,1.16,1.03,1
"5 Ronin",11,"TR",37,37.8,0.93,1736,-29,564,12.2,13,5.6,6.8,59.5,51.4,2.27,47.1,1.05,52.7,0.76,-0.3,339,0.65,44.3,32.2,1745,3.5,1.33,1.48,32
"Ad Hoc Gaming",11,"DE",18,33.3,0.74,1737,-132,413,11.6,15.8,5.2,7.3,44.4,50,1.61,32.6,1,50,0.56,-0.4,-564,0.61,34.3,31.9,1723,3,1.37,1.11,8
"Afreeca Challengers",11,"KR",44,40.9,0.92,1722,-78,542,11.7,12.8,5.3,6.5,43.2,45.5,2.14,44.3,0.84,42,0.84,-0.1,-463,0.64,39,31.9,1809,3.5,1.43,1.6,17
"Afreeca Freecs",11,"KR",96,43.8,0.94,1747,-38,622,11.7,12.4,5.6,6.3,63.5,57.3,2.52,53.1,1.13,58.9,0.94,0.1,242,0.59,43.3,33.2,1854,3.8,1.51,1.89,17
"AGO ROGUE",11,"PL",76,65.8,1.4,1871,178,463,16.8,11.9,7.1,4.8,48.7,57.9,2.5,56.8,1,50.7,1.09,0.5,1696,0.64,57.8,32.7,2121,3.1,1.17,1.37,26
